
2024/11/07 (10:02:18) | ===> btop++ v.1.4.0
2024/11/07 (10:02:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:08:31) | ===> btop++ v.1.4.0
2024/11/07 (10:08:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (10:08:32) | ===> btop++ v.1.4.0
2024/11/07 (10:08:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:37:16) | ===> btop++ v.1.4.0
2024/11/13 (12:37:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (12:41:58) | ===> btop++ v.1.4.0
2024/11/13 (12:41:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:34:38) | ===> btop++ v.1.4.0
2024/11/13 (17:34:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:35:05) | ===> btop++ v.1.4.0
2024/11/13 (17:35:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (09:34:16) | ===> btop++ v.1.4.0
2024/11/14 (09:34:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (10:37:36) | ===> btop++ v.1.4.0
2024/12/19 (10:37:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (10:38:39) | ===> btop++ v.1.4.0
2024/12/19 (10:38:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (21:49:21) | ===> btop++ v.1.4.0
2024/12/22 (21:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (21:58:06) | ===> btop++ v.1.4.0
2024/12/22 (21:58:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (21:59:10) | ===> btop++ v.1.4.0
2024/12/22 (21:59:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (21:59:30) | ===> btop++ v.1.4.0
2024/12/22 (21:59:30) | WARNING: Intel GPU: Failed to initialize PMU
